Insc. Red,logr_numpredial
003.002.01.0120,"ADAO VANDAL, 211"
003.002.01.0070,"ADAO VANDAL, 291"
003.002.01.0100,"ADAO VANDAL, 243"
003.002.01.0150,"ADAO VANDAL, 163"
003.002.01.0090,"ADAO VANDAL, 259"
003.002.01.0160,"ADAO VANDAL, 147"
003.002.01.0110,"ADAO VANDAL, 227"
003.002.01.0050,"ADAO VANDAL, 323"
003.004.02.1015,"ADAO VANDAL, 358"
003.004.02.0920,"ADAO VANDAL, 274"
003.004.02.0935,"ADAO VANDAL, 298"
003.004.02.0970,"ADAO VANDAL, 320"
003.004.02.0980,"ADAO VANDAL, 338"
003.004.02.0850,"ADAO VANDAL, 208"
003.002.01.0060,"ADAO VANDAL, 307"
003.004.02.0860,"ADAO VANDAL, 220"
003.002.01.0080,"ADAO VANDAL, 275"
003.004.02.0870,"ADAO VANDAL, 0"
003.002.01.0130,"ADAO VANDAL, 195"
003.004.02.1000,"ADAO VANDAL, 348"
003.002.01.0135,"ADAO VANDAL, 179"
003.004.02.0905,"ADAO VANDAL, 264"
003.004.02.0880,"ADAO VANDAL, 242"
003.004.02.0895,"ADAO VANDAL, 252"
003.004.02.0960,"ADAO VANDAL, 312"
003.021.01.0100,"ADOLFO JOSE DE ASSIS, 97"
003.021.01.0183,"ADOLFO JOSE DE ASSIS, 9"
003.021.01.0070,"ADOLFO JOSE DE ASSIS, 131"
003.021.01.0040,"ADOLFO JOSE DE ASSIS, 145"
003.022.01.0075,"ADOLFO JOSE DE ASSIS, 315"
003.030.01.0295,"ADOLFO JOSE DE ASSIS, 664"
003.031.01.0265,"ADOLFO JOSE DE ASSIS, 856"
003.030.01.0400,"ADOLFO JOSE DE ASSIS, 762"
003.028.01.0335,"ADOLFO JOSE DE ASSIS, 302"
003.029.01.0295,"ADOLFO JOSE DE ASSIS, 456"
003.026.02.0135,"ADOLFO JOSE DE ASSIS, 1055"
003.032.01.0065,"ADOLFO JOSE DE ASSIS, 1080"
003.027.01.0375,"ADOLFO JOSE DE ASSIS, 144"
003.030.01.0310,"ADOLFO JOSE DE ASSIS, 684"
003.025.01.0365,"ADOLFO JOSE DE ASSIS, 899"
003.023.03.0100,"ADOLFO JOSE DE ASSIS, 489"
003.025.01.0320,"ADOLFO JOSE DE ASSIS, 939"
003.031.01.0385,"ADOLFO JOSE DE ASSIS, 968"
003.032.01.0035,"ADOLFO JOSE DE ASSIS, 1052"
003.027.01.0278,"ADOLFO JOSE DE ASSIS, 50"
003.021.01.0020,"ADOLFO JOSE DE ASSIS, 179"
003.024.01.0005,"ADOLFO JOSE DE ASSIS, 789"
003.029.01.0360,"ADOLFO JOSE DE ASSIS, 552"
003.024.01.0020,"ADOLFO JOSE DE ASSIS, 763"
003.021.01.0145,"ADOLFO JOSE DE ASSIS, 47"
003.030.01.0325,"ADOLFO JOSE DE ASSIS, 694"
003.023.03.0150,"ADOLFO JOSE DE ASSIS, 447"
003.032.01.0005,"ADOLFO JOSE DE ASSIS, 1024"
003.031.01.0355,"ADOLFO JOSE DE ASSIS, 942"
003.025.01.0455,"ADOLFO JOSE DE ASSIS, 813"
003.025.01.0350,"ADOLFO JOSE DE ASSIS, 911"
003.028.01.0395,"ADOLFO JOSE DE ASSIS, 362"
003.027.01.0395,"ADOLFO JOSE DE ASSIS, 168"
003.030.01.0380,"ADOLFO JOSE DE ASSIS, 750"
003.027.01.0350,"ADOLFO JOSE DE ASSIS, 120"
003.031.01.0415,"ADOLFO JOSE DE ASSIS, 1010"
003.021.01.0123,"ADOLFO JOSE DE ASSIS, 75"
003.029.01.0345,"ADOLFO JOSE DE ASSIS, 514"
003.027.01.0290,"ADOLFO JOSE DE ASSIS, 62"
003.022.01.0065,"ADOLFO JOSE DE ASSIS, 325"
003.023.03.0163,"ADOLFO JOSE DE ASSIS, 435"
003.032.01.0020,"ADOLFO JOSE DE ASSIS, 1038"
003.031.01.0370,"ADOLFO JOSE DE ASSIS, 954"
003.028.01.0275,"ADOLFO JOSE DE ASSIS, 244"
003.030.01.0365,"ADOLFO JOSE DE ASSIS, 742"
003.023.03.0085,"ADOLFO JOSE DE ASSIS, 515"
003.021.01.0005,"ADOLFO JOSE DE ASSIS, 191"
003.023.03.0095,"ADOLFO JOSE DE ASSIS, 501"
003.025.01.0395,"ADOLFO JOSE DE ASSIS, 869"
003.028.01.0313,"ADOLFO JOSE DE ASSIS, 280"
003.031.01.0340,"ADOLFO JOSE DE ASSIS, 926"
003.025.01.0335,"ADOLFO JOSE DE ASSIS, 925"
003.031.01.0225,"ADOLFO JOSE DE ASSIS, 814"
003.031.01.0295,"ADOLFO JOSE DE ASSIS, 884"
003.023.03.0045,"ADOLFO JOSE DE ASSIS, 563"
003.032.01.0050,"ADOLFO JOSE DE ASSIS, 1066"
003.028.01.0290,"ADOLFO JOSE DE ASSIS, 260"
003.026.02.0150,"ADOLFO JOSE DE ASSIS, 1041"
003.024.01.0090,"ADOLFO JOSE DE ASSIS, 705"
003.025.01.0425,"ADOLFO JOSE DE ASSIS, 843"
003.026.02.0110,"ADOLFO JOSE DE ASSIS, 1079"
003.030.01.0410,"ADOLFO JOSE DE ASSIS, 772"
003.025.01.0410,"ADOLFO JOSE DE ASSIS, 857"
003.028.01.0370,"ADOLFO JOSE DE ASSIS, 338"
003.026.02.0175,"ADOLFO JOSE DE ASSIS, 1027"
003.024.01.0145,"ADOLFO JOSE DE ASSIS, 649"
003.024.01.0160,"ADOLFO JOSE DE ASSIS, 639"
003.025.01.0260,"ADOLFO JOSE DE ASSIS, 1009"
003.025.01.0290,"ADOLFO JOSE DE ASSIS, 967"
003.022.01.0160,"ADOLFO JOSE DE ASSIS, 233"
003.028.01.0300,"ADOLFO JOSE DE ASSIS, 270"
003.028.01.0265,"ADOLFO JOSE DE ASSIS, 232"
003.028.01.0325,"ADOLFO JOSE DE ASSIS, 290"
003.028.01.0385,"ADOLFO JOSE DE ASSIS, 350"
003.021.01.0085,"ADOLFO JOSE DE ASSIS, 109"
003.022.01.0030,"ADOLFO JOSE DE ASSIS, 361"
003.026.02.0125,"ADOLFO JOSE DE ASSIS, 1073"
003.021.01.0035,"ADOLFO JOSE DE ASSIS, 157"
003.030.01.0350,"ADOLFO JOSE DE ASSIS, 730"
003.023.03.0055,"ADOLFO JOSE DE ASSIS, 555"
003.031.01.0250,"ADOLFO JOSE DE ASSIS, 842"
003.029.01.0380,"ADOLFO JOSE DE ASSIS, 562"
003.029.01.0330,"ADOLFO JOSE DE ASSIS, 502"
003.025.01.0440,"ADOLFO JOSE DE ASSIS, 829"
003.021.01.0135,"ADOLFO JOSE DE ASSIS, 61"
003.021.01.0153,"ADOLFO JOSE DE ASSIS, 35"
003.022.01.0045,"ADOLFO JOSE DE ASSIS, 339"
003.029.01.0355,"ADOLFO JOSE DE ASSIS, 540"
003.021.01.0110,"ADOLFO JOSE DE ASSIS, 85"
003.024.01.0045,"ADOLFO JOSE DE ASSIS, 749"
003.023.03.0030,"ADOLFO JOSE DE ASSIS, 575"
003.024.01.0115,"ADOLFO JOSE DE ASSIS, 683"
003.023.03.0125,"ADOLFO JOSE DE ASSIS, 477"
003.027.01.0300,"ADOLFO JOSE DE ASSIS, 74"
003.027.01.0360,"ADOLFO JOSE DE ASSIS, 132"
003.025.01.0305,"ADOLFO JOSE DE ASSIS, 959"
003.025.01.0275,"ADOLFO JOSE DE ASSIS, 991"
003.025.01.0380,"ADOLFO JOSE DE ASSIS, 885"
003.027.01.0385,"ADOLFO JOSE DE ASSIS, 156"
003.027.01.0265,"ADOLFO JOSE DE ASSIS, 40"
003.030.01.0340,"ADOLFO JOSE DE ASSIS, 708"
003.024.01.0075,"ADOLFO JOSE DE ASSIS, 729"
003.027.01.0315,"ADOLFO JOSE DE ASSIS, 84"
003.031.01.0280,"ADOLFO JOSE DE ASSIS, 870"
003.031.01.0400,"ADOLFO JOSE DE ASSIS, 992"
003.024.01.0060,"ADOLFO JOSE DE ASSIS, 741"
003.029.01.0285,"ADOLFO JOSE DE ASSIS, 444"
003.031.01.0325,"ADOLFO JOSE DE ASSIS, 912"
003.021.01.0030,"ADOLFO JOSE DE ASSIS, 167"
003.024.01.0010,"ADOLFO JOSE DE ASSIS, 775"
003.029.01.0350,"ADOLFO JOSE DE ASSIS, 528"
003.031.01.0310,"ADOLFO JOSE DE ASSIS, 898"
003.028.01.0345,"ADOLFO JOSE DE ASSIS, 314"
003.029.01.0320,"ADOLFO JOSE DE ASSIS, 490"
003.023.03.0075,"ADOLFO JOSE DE ASSIS, 527"
003.029.01.0310,"ADOLFO JOSE DE ASSIS, 478"
003.022.01.0100,"ADOLFO JOSE DE ASSIS, 289"
003.023.03.0065,"ADOLFO JOSE DE ASSIS, 539"
003.024.01.0105,"ADOLFO JOSE DE ASSIS, 695"
003.022.01.0090,"ADOLFO JOSE DE ASSIS, 301"
003.027.01.0325,"ADOLFO JOSE DE ASSIS, 96"
003.023.03.0140,"ADOLFO JOSE DE ASSIS, 453"
003.027.01.0335,"ADOLFO JOSE DE ASSIS, 110"
003.022.01.0115,"ADOLFO JOSE DE ASSIS, 279"
003.030.01.0280,"ADOLFO JOSE DE ASSIS, 650"
003.029.01.0400,"ADOLFO JOSE DE ASSIS, 586"
003.031.01.0240,"ADOLFO JOSE DE ASSIS, 828"
003.022.01.0125,"ADOLFO JOSE DE ASSIS, 271"
003.029.01.0270,"ADOLFO JOSE DE ASSIS, 430"
003.022.01.0138,"ADOLFO JOSE DE ASSIS, 245"
003.029.01.0390,"ADOLFO JOSE DE ASSIS, 574"
003.028.01.0360,"ADOLFO JOSE DE ASSIS, 326"
003.056.04.0070,"AGOSTINHO ALVES RAMOS, 542"
003.009.01.0990,"AGOSTINHO ALVES RAMOS, 40"
003.019.01.0050,"AGOSTINHO ALVES RAMOS, 200"
003.212.03.1000,"AGOSTINHO ALVES RAMOS, 2000"
003.212.04.1030,"AGOSTINHO ALVES RAMOS, 69"
003.212.04.1060,"AGOSTINHO ALVES RAMOS, 127"
003.212.04.1080,"AGOSTINHO ALVES RAMOS, 185"
003.212.05.0300,"AGOSTINHO ALVES RAMOS, S/N"
003.154.01.1400,"AGOSTINHO ALVES RAMOS, 0"
003.039.04.0135,"AGOSTINHO ALVES RAMOS, 330"
003.197.01.0010,"AGOSTINHO ALVES RAMOS, 1340"
003.128.04.0280,"AGOSTINHO ALVES RAMOS, 1428"
003.026.01.0045,"AGOSTINHO ALVES RAMOS, 230"
003.050.03.0025,"AGOSTINHO ALVES RAMOS, 430"
003.097.04.0007,"AGOSTINHO ALVES RAMOS, 1136"
003.010.04.1000,"AGOSTINHO ALVES RAMOS, 100"
003.197.01.0025,"AGOSTINHO ALVES RAMOS, 1320"
003.124.04.0170,"AGOSTINHO ALVES RAMOS, 1347"
003.197.01.0020,"AGOSTINHO ALVES RAMOS, 1326"
003.032.03.0080,"AGOSTINHO ALVES RAMOS, 300"
003.097.04.0005,"AGOSTINHO ALVES RAMOS, 1122"
003.057.02.0700,"AGOSTINHO ALVES RAMOS, 706"
003.195.04.0150,"AGOSTINHO ALVES RAMOS, 1120"
003.009.01.0995,"AGOSTINHO ALVES RAMOS, 52"
003.057.02.0500,"AGOSTINHO ALVES RAMOS, 602"
003.212.03.0865,"AGOSTINHO ALVES RAMOS, 1844"
003.128.04.0290,"AGOSTINHO ALVES RAMOS, 1450"
003.053.03.0030,"AGOSTINHO ALVES RAMOS, 480"
003.128.04.0300,"AGOSTINHO ALVES RAMOS, 1480"
003.128.04.0500,"AGOSTINHO ALVES RAMOS, 1500"
003.113.03.1300,"AGOSTINHO ALVES RAMOS, 1740"
003.212.03.1200,"AGOSTINHO ALVES RAMOS, 2100"
003.154.01.2000,"AGOSTINHO ALVES RAMOS, 2200"
003.113.03.1250,"AGOSTINHO ALVES RAMOS, 1790"
003.212.03.0900,"AGOSTINHO ALVES RAMOS, 1860"
003.084.01.0255,"ALAGOAS, 43"
003.083.01.0045,"ALAGOAS, 52"
003.084.01.0275,"ALAGOAS, 23"
003.083.01.0120,"ALAGOAS, 112"
003.084.01.0175,"ALAGOAS, 113"
003.083.01.0005,"ALAGOAS, 12"
003.084.01.0285,"ALAGOAS, 13"
003.084.01.0265,"ALAGOAS, 33"
003.084.01.0195,"ALAGOAS, 93"
003.084.01.0215,"ALAGOAS, 73"
003.084.01.0235,"ALAGOAS, 63"
003.083.01.0110,"ALAGOAS, 102"
003.084.01.0245,"ALAGOAS, 53"
003.083.01.0025,"ALAGOAS, 32"
003.083.01.0085,"ALAGOAS, 82"
003.083.01.0035,"ALAGOAS, 42"
003.083.01.0015,"ALAGOAS, 22"
003.084.01.0185,"ALAGOAS, 103"
003.084.01.0205,"ALAGOAS, 83"
003.083.01.0095,"ALAGOAS, 92"
003.126.04.0255,"ALCIDES CALIXTO GONÇALVES JUNIOR, 45"
003.126.04.0260,"ALCIDES CALIXTO GONÇALVES JUNIOR, 44"
003.057.03.0100,"ALFREDO ESSER, 580"
003.172.01.0065,"ALFREDO ESSER, 72"
003.171.02.0120,"ALFREDO ESSER, 15"
003.173.02.0163,"ALFREDO ESSER, 163"
003.178.02.0090,"ALFREDO ESSER, 486"
003.172.01.0040,"ALFREDO ESSER, 48"
003.174.01.0275,"ALFREDO ESSER, 374"
003.173.02.0110,"ALFREDO ESSER, 179"
003.171.02.0085,"ALFREDO ESSER, 47"
003.173.02.0155,"ALFREDO ESSER, 145"
003.178.02.0080,"ALFREDO ESSER, 472"
003.174.01.0185,"ALFREDO ESSER, 270"
003.174.01.0175,"ALFREDO ESSER, 260"
003.171.02.0035,"ALFREDO ESSER, 99"
003.174.01.0105,"ALFREDO ESSER, 166"
003.174.01.0095,"ALFREDO ESSER, 150"
003.176.01.0135,"ALFREDO ESSER, 341"
003.174.01.0215,"ALFREDO ESSER, 306"
003.173.02.0120,"ALFREDO ESSER, 163"
003.171.02.0075,"ALFREDO ESSER, 57"
003.176.01.0145,"ALFREDO ESSER, 331"
003.179.01.0115,"ALFREDO ESSER, 575"
003.171.02.0055,"ALFREDO ESSER, 79"
003.177.04.0185,"ALFREDO ESSER, 497"
003.179.01.0040,"ALFREDO ESSER, 570"
003.172.01.0015,"ALFREDO ESSER, 26"
003.173.02.0165,"ALFREDO ESSER, 143"
003.171.02.0105,"ALFREDO ESSER, 25"
003.174.01.0125,"ALFREDO ESSER, 200"
003.174.01.0075,"ALFREDO ESSER, 130"
003.177.04.0205,"ALFREDO ESSER, 477"
003.172.01.0025,"ALFREDO ESSER, 36"
003.171.02.0095,"ALFREDO ESSER, 37"
003.177.04.0235,"ALFREDO ESSER, 441"
003.174.01.0255,"ALFREDO ESSER, 350"
003.174.01.0135,"ALFREDO ESSER, 210"
003.174.01.0195,"ALFREDO ESSER, 280"
003.177.04.0215,"ALFREDO ESSER, 465"
003.173.02.0090,"ALFREDO ESSER, 215"
003.174.01.0300,"ALFREDO ESSER, 392"
003.177.04.0195,"ALFREDO ESSER, 489"
003.173.02.0080,"ALFREDO ESSER, 223"
003.174.01.0225,"ALFREDO ESSER, 316"
003.172.01.0050,"ALFREDO ESSER, 60"
003.173.02.0060,"ALFREDO ESSER, 245"
003.174.01.0165,"ALFREDO ESSER, 240"
003.174.01.0265,"ALFREDO ESSER, 362"
003.174.01.0155,"ALFREDO ESSER, 232"
003.176.01.0125,"ALFREDO ESSER, 355"
003.172.01.0075,"ALFREDO ESSER, 84"
003.174.01.0115,"ALFREDO ESSER, 180"
003.177.04.0225,"ALFREDO ESSER, 453"
003.171.02.0140,"ALFREDO ESSER, 5"
003.171.02.0065,"ALFREDO ESSER, 67"
003.174.01.0245,"ALFREDO ESSER, 336"
003.178.02.0050,"ALFREDO ESSER, 440"
003.173.02.0070,"ALFREDO ESSER, 235"
003.176.01.0115,"ALFREDO ESSER, 365"
003.179.01.0060,"ALFREDO ESSER, 560"
003.178.02.0070,"ALFREDO ESSER, 460"
003.179.01.0090,"ALFREDO ESSER, 565"
003.174.01.0235,"ALFREDO ESSER, 326"
003.174.01.0145,"ALFREDO ESSER, 220"
003.174.01.0205,"ALFREDO ESSER, 290"
003.174.01.0030,"ALFREDO ESSER, 110"
003.178.02.0100,"ALFREDO ESSER, 496"
003.176.01.0095,"ALFREDO ESSER, 385"
003.178.02.0060,"ALFREDO ESSER, 450"
003.172.01.0005,"ALFREDO ESSER, 6"
003.176.01.0105,"ALFREDO ESSER, 375"
003.174.01.0085,"ALFREDO ESSER, 140"
003.171.02.0045,"ALFREDO ESSER, 87"
003.070.01.0035,"AMAPA, 280"
003.071.01.0160,"AMAPA, 315"
003.206.01.0020,"AMAPA, 620"
003.177.03.0135,"AMAPA, 180"
003.070.01.0065,"AMAPA, 310"
003.179.03.0235,"AMAPA, 211"
003.091.02.0025,"AMAPA, 370"
003.091.02.0048,"AMAPA, 400"
003.179.03.0215,"AMAPA, 201"
003.071.01.0045,"AMAPA, 299"
003.092.01.0077,"AMAPA, 469"
003.071.01.0200,"AMAPA, 275"
003.178.03.0160,"AMAPA, 240"
003.091.02.0050,"AMAPA, 410"
003.070.01.0025,"AMAPA, 270"
003.092.01.0115,"AMAPA, 389"
003.091.02.0015,"AMAPA, 360"
003.188.04.0080,"AMAPA, 530"
003.070.01.0075,"AMAPA, 320"
003.189.02.0090,"AMAPA, 519"
003.179.03.0175,"AMAPA, 171"
003.188.04.0100,"AMAPA, 510"
003.177.03.0125,"AMAPA, 170"
003.206.01.0040,"AMAPA, 600"
003.070.01.0055,"AMAPA, 300"
003.091.02.0005,"AMAPA, 350"
003.178.03.0120,"AMAPA, 220"
003.206.01.0010,"AMAPA, 630"
003.091.02.0035,"AMAPA, 380"
003.071.01.0208,"AMAPA, 261"
003.091.02.0065,"AMAPA, 450"
003.179.03.0190,"AMAPA, 185"
003.206.01.0050,"AMAPA, 590"
003.178.03.0130,"AMAPA, 230"
003.092.01.0135,"AMAPA, 361"
003.091.02.0055,"AMAPA, 430"
003.092.01.0125,"AMAPA, 371"
003.070.01.0085,"AMAPA, 330"
003.179.03.0255,"AMAPA, 231"
003.071.01.0153,"AMAPA, 321"
003.177.03.0145,"AMAPA, 190"
003.189.02.0080,"AMAPA, 509"
003.206.01.0030,"AMAPA, 610"
003.188.04.0090,"AMAPA, 520"
003.071.01.0218,"AMAPA, 251"
003.189.02.0100,"AMAPA, 531"
003.091.02.0045,"AMAPA, 390"
003.092.01.0100,"AMAPA, 415"
003.070.01.0005,"AMAPA, 250"
003.055.03.0050,"AMAPA, 144"
003.179.03.0300,"AMAPA, 241"
003.070.01.0015,"AMAPA, 260"
003.091.02.0073,"AMAPA, 470"
003.056.02.0005,"AMAPA, 135"
003.179.03.0205,"AMAPA, 191"
