ZONA,CS1,CS2,CS3,CS_750_1000,I1,I2,I3,I4,CSA,CSMV,CSE,H1,H2,CO
ZMC1,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZMC2,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZMC3,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZMR,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBR,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBN1,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBN2,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZCA1,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZCA2,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZCA3,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS1,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS2,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS3,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS4,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS5,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBS6,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZTU1,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZTU2,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZTU3,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZTU4,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZBP,Permitido,Permitido,Permitido,Permitido,Permissível,Permissível,Proibido,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZRP1,Permitido,Permitido,Permissível,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZRP2,Permitido,Permitido,Permissível,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZVP,Permitido,Permitido,Permissível,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZTP,Permitido,Permitido,Permissível,Permitido,Permitido,Permitido,Permissível,Proibido,Permissível,Permissível,Permissível,Permitido,Permitido,Permitido
ZDR,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Permissível,Permitido,Permitido,Permissível,Permitido,Permitido,Permitido
ZI,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Permitido,Permissível,Permitido
ZPA,Permitido,Permissível,Permissível,Permissível,Permitido,Permissível,Proibido,Proibido,Permissível,Permissível,Permissível,Permitido,Permissível,Permitido
ZP,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Proibido,Proibido,Permissível,Proibido,Proibido,Proibido
ZPL,Permitido,Permitido,Permitido,Permitido,Permitido,Permitido,Permissível,Permissível,Proibido,Proibido,Permissível,Permissível,Permissível,Permitido
